customer_id,customer_identifier_hash,first_name,last_name,date_of_birth,gender,province,email_masked,mobile_masked,bank_name,account_type,is_verified,created_at,is_repeat_customer,employment_status,net_income_zar
27,1D4EC1B786EA,Bongani,Du Plessis,1982-01-10,Prefer not to say,Mpumalanga,bon***@webmail.co.za,+27 74 8****,FNB,,1,2025-02-19 19:42:50,1,Pensioner,14468.47
28,ECBE48B7D9EE,bongani,Dlamini,1993-02-17,Male,Limpopo,bon***@gmail.com,+27 85 9****,Absa,CHEQUE,1,2023-05-21 14:40:43,0,Self-Employed,37547.86
29,8BB1E430DB5D,Gareth,Steyn,1971-08-06,Non-binary,Eastern Cape,,+27 79 7****,Nedbank,CHEQUE,1,2024-06-06 07:57:51,0,Unemployed,16848.17
30,FC5EF4D8E7F1,Liesl,Coetzee,1984-11-14,Male,Mpumalanga,lie***@webmail.co.za,+27 84 9****,TymeBank,savings,0,2026-05-28 18:14:40,1,employed,61668.3
31,718A4030,Nokwanda,Jacobs,1971-11-21,Non-binary,Free State,nok***@icloud.com,+27 76 9****,Discovery Bank,savings,1,2023-08-24 21:04:09,1,,55580.47
32,241FFA5025D2,Nomsa,De Villiers,1970-07-01,Prefer not to say,Mpumalanga,nom***@icloud.com,+27 83 4****,TymeBank,savings,1,2023-10-14 08:02:19,0,Employed,71544.45
33,AFDD6EE4FAB2,Nkosi,De Villiers,1999-07-19,Prefer not to say,,nko***@webmail.co.za,+27 78 2****,TymeBank,CHEQUE,1,2025-07-20 09:42:13,0,Employed,23267.67
34,665FF67A0B2E,Deon,Van Wyk,1969-09-07,,KwaZulu-Natal,deo***@gmail.com,+27 71 2****,Discovery Bank,,1,2023-04-18 11:47:26,0,,38620.64
35,467C28037BFD,Deon,Dlamini,1993-09-08,Prefer not to say,Western Cape,deo***@gmail.com,+27 82 1****,,savings,1,2026-01-28 17:24:38,0,Pensioner,37264.95
36,7728BF4A7511,Sipho,Vermeulen,2000-12-28,Prefer not to say,Mpumalanga,sip***@outlook.com,+27 82 1****,Capitec,savings,1,2023-05-03 17:42:07,0,Unemployed,75584.74
37,E97D7913451C,Priya,Daniels,1983-10-10,Male,Northern Cape,pri***@outlook.com,+27 83 8****,TymeBank,,1,2024-09-24 17:22:00,1,,54300.85
38,D6FAFBA1558D,Priya,Vermeulen,1966-02-24,Non-binary,Gauteng,,+27 72 3****,Standard Bank,CHEQUE,1,2023-08-22 18:27:07,0,EMPLOYED,41497.46
39,890B4080,Michael,Ngcobo,1990-10-02,Non-binary,North West,mic***@icloud.com,,Discovery Bank,,1,2024-10-03 20:36:25,0,Unemployed,6564.24
40,7ED0EE637C05,Palesa,Mthembu,1988-02-14,Non-binary,Eastern Cape,pal***@gmail.com,+27 74 8****,Discovery Bank,Cheque,0,2024-06-08 13:11:38,1,,10651.5
41,DAE332351D4E,Gareth,Singh,1994-10-25,Non-binary,Mpumalanga,gar***@yahoo.co.za,+27 84 1****,Absa,,1,2023-06-07 09:39:38,0,Pensioner,76567.36
42,3C1791259330,Michael,Mthembu,,Male,Mpumalanga,,+27 82 5****,FNB,savings,1,2026-05-09 08:50:40,0,Employed,46847.24
43,3044E5CE0B15,Pieter,Pillay,2003-03-11,F,Gauteng,,+27 85 5****,Absa,Cheque,1,2024-01-29 14:08:09,0,Unemployed,12585.56
44,7E3F3978969C,Priya,Du Plessis,1967-11-11,F,KwaZulu-Natal,pri***@outlook.com,+27 84 3****,FNB,CHEQUE,0,2025-01-23 21:29:49,0,,44559.48
45,C2BE0E81F08A,Trevor,Mahlangu,1973-05-02,Male,KwaZulu-Natal,tre***@gmail.com,+27 74 9****,Capitec,CHEQUE,0,2025-03-01 09:23:14,0,Unemployed,67938.22
46,E805549A008C,Nadine,Jacobs,1967-05-27,,Eastern Cape,nad***@webmail.co.za,+27 76 3****,FNB,,1,2026-05-07 07:40:32,1,EMPLOYED,37192.92
47,5F425E2FFB47,Zanele,Coetzee,1991-03-22,M,Free State,zan***@yahoo.co.za,+27 78 9****,TymeBank,Savings,1,2023-10-01 08:22:34,0,,67278.77
48,ECFA8B62B4C2,Riaan,Singh,1976-03-03,Male,Limpopo,ria***@gmail.com,+27 74 3****,Capitec,savings,1,2025-06-13 19:47:28,0,Unemployed,42215.24
49,C5921F067F47,Francois,Botha,1970-12-14,Male,Limpopo,fra***@webmail.co.za,+27 71 8****,Standard Bank,,1,2025-01-14 12:01:09,0,Employed,22699.65
50,179C86C19C3A,Liesl,Khumalo,01-20-2001,M,Mpumalanga,lie***@outlook.com,+27 79 6****,Absa,Cheque,1,2025-10-02 13:07:08,0,Pensioner,58502.74
51,837F7493B9E0,Nokwanda,Zulu,1987-12-03,F,Mpumalanga,nok***@outlook.com,+27 71 4****,Nedbank,,1,2025-09-07 20:49:26,0,Self-Employed,53175.39
52,9A8CB817F7A2,Nokwanda,Du Plessis,1987-03-27,Male,Northern Cape,nok***@outlook.com,+27 83 3****,TymeBank,savings,1,2026-06-12 09:32:41,1,employed,16564.57
53,9EF976C40C73,Priya,Mahlangu,1986-10-02,F,Free State,pri***@icloud.com,+27 76 5****,TymeBank,,1,2023-11-20 21:26:30,0,Self-Employed,15775.15
54,FA1E30724A80,Bongani,Pillay,1987-07-05,Prefer not to say,Gauteng,bon***@outlook.com,+27 73 9****,TymeBank,Cheque,1,2025-08-14 22:56:19,0,Employed,34493.16
55,A0E553813C04,Zanele,Van Wyk,2002-06-02,,Gauteng,zan***@webmail.co.za,+27 79 1****,,CHEQUE,1,2026-06-05 10:08:06,0,Unemployed,30431.4
56,1561A48D3DA5,Nadine,Van Wyk,2003-09-13,Prefer not to say,Northern Cape,nad***@webmail.co.za,+27 76 7****,Nedbank,savings,1,2025-01-24 17:43:07,0,employed,72407.53
57,1D9EDB6D02C4,Gareth,Mokoena,2003-08-09,M,Northern Cape,,+27 72 2****,Standard Bank,Cheque,1,2025-08-23 08:45:08,1,employed,54667.01
58,78770423A72C,Bongani,Sithole,1994-09-11,Non-binary,Eastern Cape,bon***@outlook.com,+27 76 8****,TymeBank,savings,1,2024-07-14 16:07:36,0,Pensioner,76595.66
59,A7F6741D47B6,Fatima,Daniels,1983-12-03,M,Northern Cape,fat***@icloud.com,+27 71 7****,,CHEQUE,1,2023-07-25 11:00:35,1,Pensioner,71048.56
60,C2598D117A27,Gareth,Van Wyk,1983-06-10,F,Western Cape,gar***@gmail.com,+27 79 9****,TymeBank,savings,1,2024-09-03 10:59:21,0,Pensioner,45747.54
61,34C07EB5F08A,Nadine,Du Plessis,1994-05-07,Male,Limpopo,nad***@icloud.com,+27 79 9****,Capitec,Savings,0,2025-09-04 17:59:15,0,Unemployed,38505.16
62,2EBD312C,Bongani,Hendricks,,Male,KwaZulu-Natal,bon***@gmail.com,+27 76 4****,FNB,CHEQUE,1,2025-02-04 20:44:35,0,,54807.08
63,4448EBBF4E8C,Zanele,Mabunda,02-17-2003,M,KwaZulu-Natal,zan***@outlook.com,+27 82 1****,Capitec,CHEQUE,1,2026-02-18 21:43:51,0,,
64,80B34CA68206,Trevor,Coetzee,19690114,Male,KwaZulu-Natal,tre***@webmail.co.za,+27 79 4****,TymeBank,Cheque,1,2023-08-31 12:34:25,1,EMPLOYED,67611.62
65,8EF462C8B5DB,Fatima,Mthembu,1999-07-18,F,Western Cape,fat***@gmail.com,+27 72 2****,TymeBank,Savings,1,2025-04-03 21:14:34,1,,9233.3
66,A8A59F822D20,Fatima,Ngcobo,2001-06-19,F,Free State,fat***@outlook.com,,Absa,CHEQUE,1,2025-05-02 20:09:19,0,Self-Employed,40513.91
67,62D9291838F0,Fatima,Steyn,1974-08-02,Female,Gauteng,,+27 79 7****,FNB,Cheque,1,2024-09-12 07:13:59,1,EMPLOYED,79967.9
68,123453A617C6,Zanele,Steyn,2003-12-07,F,Limpopo,zan***@webmail.co.za,+27 78 3****,Capitec,Cheque,1,2024-06-18 20:18:09,1,Unemployed,47734.21
69,A697E61E386B,Nomsa,Vermeulen,1986-05-25,Non-binary,Northern Cape,nom***@gmail.com,+27 72 9****,Standard Bank,,0,2023-01-19 13:32:29,0,Employed,55006.6
70,F5BFE4B7ED7A,Amina,MABUNDA,1996-01-01,,Free State,ami***@icloud.com,+27 74 7****,Absa,,1,2025-07-29 14:44:14,0,EMPLOYED,11046.27
71,0A224C8CA89E,Gareth,Daniels,19700713,F,Gauteng,gar***@icloud.com,+27 71 1****,Nedbank,Cheque,1,2023-02-02 13:37:09,0,Employed,47296.86
72,240120D4CD5C,Mandla,Mabunda,1999-06-13,,Free State,man***@icloud.com,,Absa,CHEQUE,1,2026-02-06 19:27:11,0,Employed,27153.46
73,783B7BA085F2,Ayesha,Petersen,1982-03-13,Male,North West,aye***@gmail.com,+27 82 6****,,Savings,1,2025-02-27 07:18:26,0,,72585.2
74,5B60D2B7890D,Zanele,Coetzee,19980322,Non-binary,North West,zan***@webmail.co.za,+27 74 5****,Capitec,savings,1,2024-11-05 21:21:27,1,Unemployed,76045.92
75,294AAB3C1C55,Bongani,Sithole,1990-06-10,Non-binary,Free State,bon***@icloud.com,+27 83 1****,FNB,savings,1,2025-04-17 22:08:40,0,Self-Employed,16560.74
76,F3EC7602522B,Mandla,Petersen,1993-10-16,Male,Mpumalanga,man***@gmail.com,+27 74 7****,,CHEQUE,1,2025-05-31 10:00:06,0,Self-Employed,43909.83
77,746BABF32CBA,Deon,Ngcobo,1993-06-13,Prefer not to say,Free State,deo***@outlook.com,+27 78 5****,Absa,CHEQUE,1,2024-10-15 09:19:02,0,Employed,53597.74
78,F89E709F283A,Lerato,Pillay,1980-09-06,F,Free State,ler***@webmail.co.za,+27 79 1****,Discovery Bank,Savings,1,2024-01-18 18:20:12,0,Employed,69697.74
79,727379900263,Gareth,Zulu,2003-07-20,F,Limpopo,gar***@outlook.com,+27 74 4****,TymeBank,CHEQUE,0,2026-03-23 19:27:11,0,EMPLOYED,73937.07
80,5A430286CF4B,Lerato,Langa,,Non-binary,North West,ler***@webmail.co.za,+27 82 5****,Capitec,Cheque,1,2024-04-05 16:10:49,0,employed,62443.97
81,F8FEACD62698,Sipho,Coetzee,1972-05-25,Prefer not to say,Free State,sip***@gmail.com,+27 78 9****,Capitec,Cheque,1,2024-12-19 20:10:39,1,,
82,DAFA95D86173,Liesl,Langa,1982-10-18,M,Gauteng,lie***@yahoo.co.za,+27 73 8****,TymeBank,Cheque,1,2025-09-29 11:36:40,0,EMPLOYED,38899.38
83,08457E4CB207,Ayesha,Khumalo,1997-12-09,F,North West,aye***@icloud.com,+27 79 9****,Absa,savings,0,2026-03-05 22:50:21,0,Employed,63791.73
84,30FA7D407C58,Sipho,Sithole,1993-08-01,Non-binary,Limpopo,sip***@yahoo.co.za,+27 85 2****,Absa,Cheque,1,2023-07-14 07:13:30,0,Self-Employed,43958.32
85,E36C196DD7EA,Thandi,Steyn,1986-02-28,Male,Mpumalanga,tha***@outlook.com,+27 85 2****,Capitec,Cheque,0,2023-11-07 20:39:43,0,,72244.47
86,A3E63A4D36C0,Sipho,Coetzee,1989-06-14,M,Limpopo,sip***@yahoo.co.za,+27 84 6****,Absa,Cheque,1,2024-05-08 22:40:38,0,employed,5905.03
87,04C25E8015A2,Bongani,Jacobs,1989-10-14,Male,Western Cape,bon***@icloud.com,+27 83 8****,,Cheque,1,2023-06-11 13:51:09,0,Pensioner,62241.81
88,B308693EFCD8,Gareth,Petersen,1984-12-14,Prefer not to say,Western Cape,gar***@gmail.com,+27 71 2****,Nedbank,savings,0,2024-07-04 10:49:57,0,Unemployed,25398.54
89,E7011EA4E9FD,Riaan,Coetzee,1969-08-15,Male,Gauteng,ria***@gmail.com,+27 82 4****,FNB,Savings,1,2024-04-04 17:15:26,0,Unemployed,47865.2
90,E63DDEAABC2B,Nokwanda,Daniels,1976-04-26,Non-binary,Northern Cape,nok***@icloud.com,+27 84 3****,Standard Bank,Cheque,1,2024-05-17 11:00:59,0,Employed,30981.78
91,C9C731436ADC,Thandi,Zulu,1965-11-13,Prefer not to say,KwaZulu-Natal,tha***@icloud.com,+27 78 5****,Nedbank,,1,2023-05-08 20:42:08,1,Unemployed,28625.67
92,82D279CFE965,Riaan,Pillay,1985-06-15,Female,North West,ria***@yahoo.co.za,+27 74 5****,,Cheque,1,2026-05-20 08:13:53,0,Self-Employed,23616.41
93,BDFFBEDA85F1,Francois,Daniels,1984-05-27,Female,Gauteng,fra***@gmail.com,+27 74 2****,Absa,Savings,1,2023-06-03 07:04:12,0,,72880.85
94,37B7D78D7168,Bongani,Dlamini,19670802,Female,KwaZulu-Natal,bon***@icloud.com,+27 74 7****,Nedbank,Savings,0,2025-05-08 13:41:56,1,EMPLOYED,
95,6E204DCCCC0C,Mandla,Steyn,1987-08-18,Male,,man***@icloud.com,+27 84 3****,TymeBank,Savings,0,2026-03-25 19:22:59,1,Self-Employed,28850.33
96,3BC0BE1E83E6,Liesl,Coetzee,1966-12-23,Prefer not to say,KwaZulu-Natal,lie***@icloud.com,+27 83 5****,Nedbank,Cheque,0,2024-10-24 08:01:09,1,,44472.12
97,09B5402A448C,Ayesha,De Villiers,1990-10-04,F,Mpumalanga,aye***@outlook.com,+27 73 4****,Absa,Savings,1,2025-03-12 08:11:38,0,,21567.14
98,F5BA1452736E,Amina,Jacobs,03 Dec 1986,,Eastern Cape,ami***@gmail.com,+27 71 4****,FNB,CHEQUE,1,2026-01-23 19:06:53,0,,53822.72
99,E6BDACAE,Lerato,Mthembu,1969-01-10,Female,Northern Cape,ler***@icloud.com,+27 71 5****,Standard Bank,Savings,0,2025-04-18 15:42:18,0,Self-Employed,34467.67
100,0C4EBC6CB7E7,Amina,Jacobs,1968-06-01,Male,Limpopo,ami***@webmail.co.za,+27 85 3****,Standard Bank,CHEQUE,1,2023-04-02 15:28:29,0,Self-Employed,47318.49
101,041235F66840,Riaan,Mabunda,1971-02-22,Prefer not to say,Free State,ria***@outlook.com,+27 72 5****,Nedbank,Cheque,1,2023-12-21 12:13:51,1,,10877.64
102,565FCCCF4237,Trevor,Vermeulen,1974-10-09,M,Limpopo,tre***@icloud.com,+27 72 5****,Nedbank,Savings,1,2023-07-26 16:55:34,0,Pensioner,54109.08
103,76A358612E0A,Amina,Daniels,,Non-binary,Western Cape,ami***@yahoo.co.za,+27 76 4****,Discovery Bank,Savings,0,2023-10-03 16:47:28,0,Unemployed,50373.43
104,492DBE63BB4B,Nkosi,Van Wyk,1991-12-16,Non-binary,Free State,nko***@outlook.com,+27 74 9****,,savings,1,2025-01-24 21:32:25,0,,32935.01
105,D5085B821B17,Lerato,Singh,12/09/2002,,Eastern Cape,ler***@outlook.com,+27 79 6****,Discovery Bank,CHEQUE,0,2026-05-16 07:14:16,0,EMPLOYED,53205.52
106,2955AEED7A8F,Mandla,De Villiers,1994-05-07,M,Mpumalanga,man***@yahoo.co.za,+27 82 1****,TymeBank,savings,1,2024-01-21 11:33:48,1,Employed,65177.28
107,69D75D7CC741,Nokwanda,Zulu,1973-12-01,Male,Eastern Cape,nok***@icloud.com,+27 82 7****,Discovery Bank,Cheque,1,2023-09-20 15:46:51,1,EMPLOYED,54082.6
108,C4AFD975D0AD,Zanele,Pillay,1984-07-26,Male,Gauteng,zan***@webmail.co.za,+27 79 1****,FNB,CHEQUE,0,2023-06-15 22:21:40,1,Unemployed,5353.51
109,C03728FE79C4,Lerato,Coetzee,1975-08-26,Prefer not to say,Western Cape,ler***@yahoo.co.za,+27 83 2****,TymeBank,Cheque,1,2024-10-01 11:06:24,0,,8428.88
110,666DCC00E2ED,Nkosi,Pillay,1998-10-17,Non-binary,KwaZulu-Natal,nko***@outlook.com,+27 73 3****,FNB,Savings,1,2025-12-31 08:38:03,0,EMPLOYED,8617.63
111,365366D3AEB6,Nkosi,Khumalo,1972-09-09,F,Northern Cape,nko***@gmail.com,+27 84 2****,Capitec,Cheque,1,2024-02-18 18:45:26,0,,42226.6
112,5C567C1A1734,Amina,Zulu,1980-01-01,Male,Gauteng,ami***@outlook.com,,Discovery Bank,Savings,1,2024-10-02 20:47:07,0,,8441.68
113,75E7C26C17BE,Nokwanda,Vermeulen,1975-06-12,Non-binary,Free State,nok***@webmail.co.za,+27 85 9****,TymeBank,,1,2025-09-15 21:11:39,0,,7161.22
114,FDA4F61209DC,Priya,Jacobs,08-04-1995,F,Northern Cape,pri***@webmail.co.za,+27 74 5****,TymeBank,,0,2025-11-01 22:54:31,1,Employed,29047.54
115,5C946B7290E4,Pieter,Daniels,1997-04-18,Prefer not to say,North West,pie***@gmail.com,,Capitec,savings,1,2024-02-28 21:21:23,0,,39084.5
116,4B48CA9638E4,Palesa,Mahlangu,22 Dec 1995,F,Limpopo,pal***@outlook.com,+27 79 2****,FNB,CHEQUE,0,2024-11-23 10:48:26,0,EMPLOYED,49160.83
117,95E9CFFC4C5C,nkosi,Mthembu,2002-09-05,M,Northern Cape,nko***@outlook.com,+27 85 7****,Standard Bank,Cheque,1,2024-08-25 21:51:08,1,Pensioner,71482.76
118,C8E890C7661D,Riaan,Langa,1985-12-24,Non-binary,KwaZulu-Natal,ria***@icloud.com,+27 78 8****,Nedbank,CHEQUE,1,2024-08-08 20:51:00,0,Employed,
119,0131A92484BC,Pieter,Sithole,1983-11-09,Non-binary,Gauteng,pie***@icloud.com,+27 83 9****,Capitec,CHEQUE,1,2026-02-04 08:00:47,0,Self-Employed,63569.37
120,A67C7B2B4BEA,Zanele,Vermeulen,1988-10-18,F,KwaZulu-Natal,zan***@webmail.co.za,+27 76 2****,,CHEQUE,0,2023-03-23 11:59:20,0,,51170.65
121,084108426A84,Amina,Coetzee,06-03-2000,Prefer not to say,Free State,ami***@yahoo.co.za,+27 76 3****,Nedbank,,1,2025-07-01 14:57:41,1,Employed,29070.28
122,408728C295F2,Sipho,Khumalo,1981-09-24,Prefer not to say,Limpopo,sip***@gmail.com,+27 73 8****,,Cheque,1,2023-08-01 13:34:53,0,EMPLOYED,10409.04
123,5E6B7BD726DD,Thandi,Mthembu,,Female,Free State,,,TymeBank,Savings,1,2025-01-02 10:18:50,0,employed,62395.57
124,1ECB68706530,Mandla,Mabunda,1966-08-06,F,Mpumalanga,man***@outlook.com,+27 71 6****,Capitec,savings,1,2023-10-19 12:11:14,0,Self-Employed,55323.34
125,600F55B628C9,Michael,Langa,1994-11-18,Non-binary,Eastern Cape,mic***@yahoo.co.za,+27 78 7****,FNB,savings,1,2023-12-12 07:20:15,1,EMPLOYED,37709.3
126,319A98C56022,Nadine,Mabunda,1986-08-15,Male,KwaZulu-Natal,nad***@gmail.com,+27 71 9****,Discovery Bank,CHEQUE,0,2023-03-17 15:34:57,0,EMPLOYED,32436.4
127,86FE579DAE87,Deon,Pillay,,Female,KwaZulu-Natal,deo***@outlook.com,+27 84 7****,Standard Bank,Savings,1,2024-04-19 09:16:23,1,Employed,43841.39
128,90F1937B459D,Mandla,Singh,1994-01-02,F,Northern Cape,man***@icloud.com,+27 72 6****,FNB,savings,1,2025-09-24 22:56:38,0,employed,37992.4
129,A1AB4CCB71CB,Francois,Vermeulen,1982-04-05,Non-binary,North West,fra***@outlook.com,,Nedbank,Cheque,1,2026-03-18 11:03:10,0,Self-Employed,35409.22
130,F67C8D7C9080,Gareth,Mokoena,1983-02-07,M,KwaZulu-Natal,gar***@yahoo.co.za,+27 84 7****,Standard Bank,Savings,1,2025-05-09 11:38:06,1,Pensioner,49986.03
131,67C8B2C6B9BE,Nomsa,Du Plessis,,F,Northern Cape,nom***@outlook.com,+27 82 9****,Discovery Bank,Savings,1,2025-09-04 14:58:54,0,Unemployed,45779.83
132,7888757A1ED5,thandi,Steyn,1965-10-17,Non-binary,Free State,tha***@webmail.co.za,+27 84 3****,Standard Bank,CHEQUE,1,2026-02-10 22:16:19,0,,60183.68
133,DD5423191504,Nokwanda,Dlamini,1979-08-26,M,Western Cape,nok***@outlook.com,,FNB,Savings,1,2026-06-11 16:45:38,0,,53021.85
134,BE03E9FC,Trevor,Mabunda,1998-05-07,Male,Western Cape,tre***@yahoo.co.za,+27 79 7****,TymeBank,Savings,1,2026-04-08 18:22:52,0,Self-Employed,19589.39
135,B2E92B1C2A0B,Deon,Mokoena,1981-03-14,M,Northern Cape,deo***@webmail.co.za,+27 84 5****,Discovery Bank,CHEQUE,1,2025-09-14 10:16:04,0,EMPLOYED,21528.67
136,1A18AA6F,Bongani,Arendse,1987-09-18,Non-binary,KwaZulu-Natal,bon***@yahoo.co.za,+27 85 2****,FNB,savings,0,2024-05-26 18:09:49,0,Employed,55685.91
137,D63FC7D38DDF,Palesa,Mokoena,1999-01-28,Non-binary,Northern Cape,pal***@gmail.com,,Absa,Cheque,1,2025-11-27 21:20:44,0,Employed,33457.1
138,C04E297DCE61,Liesl,Mahlangu,1981-03-18,Prefer not to say,Mpumalanga,lie***@outlook.com,+27 84 8****,TymeBank,Cheque,1,2024-02-06 11:51:47,1,Pensioner,18245.55
139,699042ED314F,Gareth,Du Plessis,1999-12-11,F,Eastern Cape,gar***@yahoo.co.za,+27 78 6****,Standard Bank,Cheque,1,2023-12-24 16:22:20,0,,71722.43
140,10CA1E98C019,Fatima,Mthembu,1974-03-21,Male,Mpumalanga,fat***@yahoo.co.za,+27 79 3****,Absa,CHEQUE,0,2023-02-17 11:46:15,0,EMPLOYED,11004.86
141,C1D209DC44A3,Sipho,Dlamini,1969-08-18,M,Free State,sip***@outlook.com,+27 73 1****,Discovery Bank,CHEQUE,1,2024-07-11 21:08:44,1,employed,52328.56
142,C37B7481F691,Deon,Arendse,21 Nov 1998,Non-binary,KwaZulu-Natal,deo***@outlook.com,+27 82 6****,Standard Bank,CHEQUE,1,2024-08-22 14:50:00,0,Self-Employed,47041.58
143,EDFEF96F9A0A,Lerato,Steyn,1989-07-08,F,Limpopo,ler***@outlook.com,+27 73 2****,Standard Bank,savings,1,2024-01-20 17:01:09,0,,77924.95
144,20D76692BA25,Nadine,Steyn,1993-12-01,Prefer not to say,North West,,+27 79 1****,FNB,savings,1,2023-09-07 14:24:49,0,Self-Employed,7513.27
145,3F9655D0354F,Sipho,Du Plessis,13/08/1978,Non-binary,Limpopo,sip***@outlook.com,+27 78 1****,,,1,2026-04-05 22:44:38,1,Unemployed,23654.17
146,0025A304EE12,Nokwanda,Mahlangu,1986-11-02,Female,Northern Cape,,+27 79 4****,Capitec,CHEQUE,1,2025-09-30 13:36:11,0,Unemployed,25649.33
147,5E99EBB0F776,Nomsa,Sithole,1969-09-05,M,KwaZulu-Natal,nom***@outlook.com,+27 72 7****,FNB,CHEQUE,0,2026-06-09 16:20:26,0,Employed,
148,6EA1506A685A,Nadine,Sithole,1967-04-04,M,Limpopo,,+27 74 7****,,Savings,1,2025-01-25 08:52:39,0,,10279.11
